category,component_name,package_name,purpose,key_features,use_cases,github_url,documentation_url
SDK,Starter Kit,@safe-global/sdk-starter-kit,Entry point for Smart Account interaction,"User operations (ERC-4337); Multi-signature transactions; Off-chain and on-chain messaging","Simplified account deployment; Transaction flow management; ERC-4337 integration",https://github.com/safe-global/safe-core-sdk/tree/main/packages/sdk-starter-kit,https://docs.safe.global/sdk/starter-kit
SDK,Protocol Kit,@safe-global/protocol-kit,Direct engagement with Safe Smart Accounts,"Create and configure accounts; Transaction signing and execution; Battle-tested security; Transaction batching; Owner management","Safe account deployment; Transaction execution workflows; Signature handling; Configuration updates",https://github.com/safe-global/safe-core-sdk/tree/main/packages/protocol-kit,https://docs.safe.global/sdk/protocol-kit
SDK,API Kit,@safe-global/api-kit,Interface with Safe Transaction Service API,"Transaction sharing among signers; Account configuration retrieval; Transaction history access; Off-chain signature collection","Propose and collect signatures; Retrieve Safe information; Coordinate multi-sig workflows",https://github.com/safe-global/safe-core-sdk/tree/main/packages/api-kit,https://docs.safe.global/sdk/api-kit
SDK,Relay Kit,@safe-global/relay-kit,Transaction relaying and gas abstraction,"ERC-4337 integration; Gelato-powered gasless experiences; Sponsored transactions; ERC-20 fee payment","Pay fees with native or ERC-20 tokens; Sponsored transactions; ERC-4337 integration",https://github.com/safe-global/safe-core-sdk/tree/main/packages/relay-kit,https://docs.safe.global/sdk/relay-kit
SDK,Types Kit,@safe-global/types-kit,Common types for Safe Core SDK packages,TypeScript type definitions,Consistent typing across SDK ecosystem,https://github.com/safe-global/safe-core-sdk/tree/main/packages/types-kit,
Core,Safe Singleton Contract,N/A,Main contract with core Safe logic,"Signature verification; Transaction execution; Owner management; Module management; Fallback handler",Used by all Safe proxies via delegation,,https://docs.safe.global/advanced/smart-account-overview
Core,SafeProxy,N/A,Lightweight proxy contract,"Delegatecall to Singleton; Reduced deployment costs; Smaller bytecode",Each user deploys minimal proxy for their Safe account,,https://docs.safe.global/advanced/smart-account-overview
Core,Owner Manager,OwnerManager.sol,Manage Safe account owners,"Add/remove/replace owners; Set signature threshold; Configure confirmations",Multi-signature account management,,https://docs.safe.global/advanced/smart-account-overview
Core,Module Manager,N/A,Enable modular functionality extensions,"Execute transactions via modules; Automation; Security enhancements; Custom logic","Allowance limits; Account recovery; ERC-4337; Passkey auth",,https://docs.safe.global/advanced/smart-account-modules
Core,Guard Manager,N/A,Transaction validation layer,"Check transaction validity; Reject based on custom logic; Additional security",Transaction filtering and validation,,https://docs.safe.global/advanced/smart-account-overview
Module,Allowance Module,N/A,Daily spending limits,Execute transactions within allowance without multi-sig,Daily spending limits without full multi-sig approval,,https://docs.safe.global/advanced/smart-account-modules
Module,Recovery Module,N/A,Account recovery mechanism,Recover Safe access if credentials lost,Account recovery workflows,,https://docs.safe.global/advanced/smart-account-modules
Module,4337 Module,N/A,ERC-4337 standard compliance,Enable account abstraction features,User operations and account abstraction,,https://docs.safe.global/advanced/smart-account-modules
Module,Passkey Module,N/A,Biometric and hardware key support,Passkey-based authentication,Biometric and hardware security key authentication,,https://docs.safe.global/advanced/smart-account-modules
API Service,Safe Transaction Service,N/A,Track Safe transactions across networks,"Transaction tracking; Off-chain signature collection; Multi-sig coordination; Transaction state queries","Coordinate multi-sig operations; Track transaction history; Collect signatures",https://github.com/safe-global/safe-transaction-service,https://docs.safe.global/core-api/transaction-service-overview
API Service,Safe Events Service,N/A,Event indexing and notifications,"Real-time notifications; HTTP webhooks; Transaction indexing",Notify users of pending transactions and events,,https://docs.safe.global/core-api/api-overview
API Service,Safe Client Gateway,N/A,Facade for end users,"Route requests; Transform data; Aggregate from multiple services",Unified API interface for clients,,https://docs.safe.global/core-api/api-overview
API Service,Safe Config Service,N/A,Network configuration storage,Store supported networks and chain-specific config,Provide network configuration to other services,,https://docs.safe.global/config-service-configuration/overview
ERC-4337,UserOperation,N/A,Pseudo-transaction for account abstraction,Send transactions on behalf of users,Enable account abstraction without protocol changes,,https://docs.safe.global/advanced/erc-4337/overview
ERC-4337,Bundlers,N/A,Collect and bundle user operations,Aggregate UserOperations; Submit to EntryPoint,Process multiple user operations efficiently,,https://docs.safe.global/advanced/erc-4337/overview
ERC-4337,EntryPoint,N/A,Global contract for user operations,Validate and execute user operations,Central execution point for ERC-4337,,https://docs.safe.global/advanced/erc-4337/overview
ERC-4337,Paymasters,N/A,Flexible gas payment mechanism,"ERC-20 gas payment; Sponsored transactions; Gasless experiences",Enable flexible gas payment options,,https://docs.safe.global/advanced/erc-4337/overview
